"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","YDS","TDS","REC","YDS","TDS","ATT","YDS","TDS"
"77",7,"Jakobi Meyers",LV,"218","0","0","87","1027","4","2","23","0"
"78",7,"Evan Engram",DEN,"89.5","0","0","47","365","1","0","0","0"
"79",7,"Kyler Murray",ARI,"308.2","3851","21","0","0","0","78","572","5"
"80",7,"Chris Godwin",TB,"137.8","0","0","50","576","5","1","2","0"
"81",7,"Kaleb Johnson",PIT,"0","0","0","0","0","0","0","0","0"
"82",7,"Joe Mixon",HOU,"240.5","0","0","36","309","1","245","1016","11"
"83",7,"Brian Robinson Jr.",WAS,"159.8","0","0","20","159","0","187","799","8"
"84",8,"David Njoku",CLE,"148.5","0","0","64","505","5","0","0","0"
"85",8,"Dak Prescott",DAL,"124.5","1978","11","0","0","0","13","54","1"
"86",8,"Tyrone Tracy Jr.",NYG,"182.3","0","0","38","284","1","192","839","5"
"87",8,"Jaylen Warren",PIT,"124.1","0","0","38","310","0","120","511","1"
"88",8,"Justin Fields",NYJ,"120.1","1106","5","0","0","0","62","289","5"
"89",8,"Mark Andrews",BAL,"188.8","0","0","55","673","11","4","5","0"
"90",8,"Khalil Shakir",BUF,"182.5","0","0","76","821","4","2","4","0"
"91",8,"Jauan Jennings",SF,"210.5","0","0","77","975","6","0","0","0"
"92",8,"Jordan Addison",MIN,"212.5","0","0","63","875","9","3","20","1"
"93",8,"Brock Purdy",SF,"278.9","3864","20","0","0","0","66","323","5"
"94",8,"Ricky Pearsall",SF,"93.5","0","0","31","400","3","3","45","0"
"95",8,"Josh Downs",IND,"183.5","0","0","72","803","5","1","12","0"
"96",8,"Justin Herbert",LAC,"288.4","3870","23","0","0","0","69","306","2"
"97",8,"Deebo Samuel Sr.",WAS,"153.6","0","0","51","670","3","42","136","1"
"98",8,"Michael Pittman Jr.",IND,"165.8","0","0","69","808","3","0","0","0"
"99",8,"Travis Etienne Jr.",JAC,"130.2","0","0","39","254","0","150","558","2"
"100",8,"Caleb Williams",CHI,"260.5","3541","20","0","0","0","81","489","0"
"101",8,"Jared Goff",DET,"336.5","4629","37","0","0","0","35","56","0"
"102",8,"Cooper Kupp",SEA,"175","0","0","67","710","6","2","10","0"
"103",8,"Jayden Reed",GB,"197","0","0","55","857","6","20","163","1"
"104",8,"Drake Maye",NE,"187.1","2276","15","0","0","0","54","421","2"
"105",8,"Jake Ferguson",DAL,"104.4","0","0","59","494","0","0","0","0"
"106",8,"Tucker Kraft",GB,"163.3","0","0","50","707","7","3","6","0"
"107",8,"Jordan Love",GB,"244.9","3389","25","0","0","0","25","83","1"
"108",8,"Emeka Egbuka",TB,"0","0","0","0","0","0","0","0","0"
"109",8,"Javonte Williams",DAL,"157.9","0","0","52","346","0","139","513","4"
"110",8,"Jordan Mason",MIN,"115","0","0","11","91","0","153","789","3"
"111",8,"Zach Charbonnet",SEA,"186.9","0","0","42","340","1","135","569","8"
"112",9,"Trevor Lawrence",JAC,"152.2","2045","11","0","0","0","26","119","3"
"113",9,"C.J. Stroud",HOU,"232.4","3727","20","0","0","0","52","233","0"
"114",9,"Darnell Mooney",ATL,"193.2","0","0","64","992","5","0","0","0"
"115",9,"Rhamondre Stevenson",NE,"175.9","0","0","33","168","1","207","801","7"
"116",9,"Tyler Warren",IND,"0","0","0","0","0","0","0","0","0"
"117",9,"Tyjae Spears",TEN,"113.6","0","0","30","224","1","84","312","4"
"118",9,"Dalton Kincaid",BUF,"100.8","0","0","44","448","2","0","0","0"
"119",9,"Cam Skattebo",NYG,"0","0","0","0","0","0","0","0","0"
"120",9,"Matthew Golden",GB,"0","0","0","0","0","0","0","0","0"
"121",9,"J.J. McCarthy",MIN,"0","0","0","0","0","0","0","0","0"
"122",9,"Dallas Goedert",PHI,"103.6","0","0","42","496","2","0","0","0"
"123",9,"Rachaad White",TB,"199.6","0","0","51","393","6","144","613","3"
"124",9,"J.K. Dobbins",DEN,"191.8","0","0","32","153","0","195","905","9"
"125",9,"Brandon Aiyuk",SF,"62.4","0","0","25","374","0","0","0","0"
"126",9,"Rashid Shaheed",NO,"79.8","0","0","20","349","3","6","29","0"
"127",9,"Najee Harris",LAC,"204.6","0","0","36","283","0","263","1043","6"
"128",9,"Christian Kirk",HOU,"70.9","0","0","27","379","1","0","0","0"
"129",9,"Keon Coleman",BUF,"111.5","0","0","29","556","4","1","9","0"
"130",9,"Tank Bigsby",JAC,"129","0","0","7","54","0","168","766","7"
"131",9,"Colston Loveland",CHI,"0","0","0","0","0","0","0","0","0"
"132",9,"Tua Tagovailoa",MIA,"188.6","2867","19","0","0","0","17","49","0"
"133",9,"Austin Ekeler",WAS,"132.3","0","0","35","366","0","77","367","4"
"134",9,"Cedric Tillman",CLE,"80.4","0","0","29","339","3","1","-5","0"
"135",9,"Luther Burden III",CHI,"0","0","0","0","0","0","0","0","0"
"136",9,"Bryce Young",CAR,"204","2403","15","0","0","0","43","249","6"
"137",9,"Matthew Stafford",LAR,"222.6","3762","20","0","0","0","30","41","0"
"138",9,"Jerome Ford",CLE,"134","0","0","37","225","0","104","565","3"
