"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","YDS","TDS","REC","YDS","TDS","ATT","YDS","TDS"
"340",14,"Justin Tucker",FA,"143","0","0","0","0","0","0","0","0"
"341",14,"KaVontae Turpin",DAL,"104.2","0","0","31","420","2","16","92","0"
"342",14,"Spencer Rattler",NO,"72.3","1317","4","0","0","0","18","146","0"
"343",14,"Gus Edwards",FA,"64.1","0","0","3","6","0","101","365","4"
"344",14,"Dawson Knox",BUF,"59.1","0","0","22","311","1","0","0","0"
"345",14,"Michael Mayer",LV,"36.6","0","0","21","156","0","0","0","0"
"346",14,"Troy Franklin",DEN,"67.1","0","0","28","263","2","2","8","0"
"347",14,"New York Giants",NYG,"91","0","0","0","0","0","0","0","0"
"348",14,"Marquez Valdes-Scantling",SEA,"84.5","0","0","19","411","4","1","4","0"
"349",14,"Jake Moody",SF,"118","0","0","0","0","0","0","0","0"
"350",14,"Isaiah Bond",FA,"0","0","0","0","0","0","0","0","0"
"351",14,"Cam Akers",NO,"93.2","0","0","14","68","3","104","444","2"
"352",14,"AJ Barner",SEA,"78.5","0","0","30","245","4","0","0","0"
"353",14,"Curtis Samuel",BUF,"63.7","0","0","31","253","1","5","14","0"
"354",14,"Luke Musgrave",GB,"11.5","0","0","7","45","0","0","0","0"
"355",14,"Chimere Dike",TEN,"0","0","0","0","0","0","0","0","0"
"356",14,"Brandon McManus",GB,"99","0","0","0","0","0","0","0","0"
"357",14,"Savion Williams",GB,"0","0","0","0","0","0","0","0","0"
"358",14,"Washington Commanders",WAS,"90","0","0","0","0","0","0","0","0"
"359",14,"Kirk Cousins",ATL,"192.3","3508","18","0","0","0","23","0","0"
"360",14,"Tank Dell",HOU,"140","0","0","51","667","3","9","43","0"
"361",14,"Cam Little",JAC,"126","0","0","0","0","0","0","0","0"
"362",14,"Donovan Edwards",NYJ,"0","0","0","0","0","0","0","0","0"
"363",14,"Eddy Pineiro",FA,"107","0","0","0","0","0","0","0","0"
"364",15,"Allen Lazard",NYJ,"126","0","0","37","530","6","0","0","0"
"365",15,"Dillon Gabriel",CLE,"0","0","0","0","0","0","0","0","0"
"366",15,"Jaylin Lane",WAS,"0","0","0","0","0","0","0","0","0"
"367",15,"LeQuint Allen Jr.",JAC,"0","0","0","0","0","0","0","0","0"
"368",15,"Mack Hollins",NE,"98.8","0","0","31","378","5","0","0","0"
"369",15,"Greg Dortch",ARI,"90.3","0","0","37","342","3","5","31","0"
"370",15,"Austin Hooper",NE,"108.6","0","0","45","476","3","0","0","0"
"371",15,"Jameis Winston",NYG,"143.1","2121","13","0","0","0","25","83","1"
"372",15,"Hunter Renfrow",CAR,"0","0","0","0","0","0","0","0","0"
"373",15,"KeAndre Lambert-Smith",LAC,"0","0","0","0","0","0","0","0","0"
"374",15,"Matt Prater",FA,"33","0","0","0","0","0","0","0","0"
"375",15,"Gunnar Helm",TEN,"0","0","0","0","0","0","0","0","0"
"376",15,"Kenny Pickett",CLE,"26.1","291","2","0","0","0","9","15","1"
"377",15,"Antwane Wells Jr.",NYG,"0","0","0","0","0","0","0","0","0"
"378",15,"Trey Sermon",PIT,"53.8","0","0","16","99","0","56","159","2"
"379",15,"Van Jefferson",TEN,"63.6","0","0","24","276","2","0","0","0"
"380",15,"Robert Woods",PIT,"38.3","0","0","20","203","0","0","0","0"
"381",15,"Indianapolis Colts",IND,"91","0","0","0","0","0","0","0","0"
"382",15,"Theo Wease Jr.",MIA,"0","0","0","0","0","0","0","0","0"
"383",15,"Luke Schoonmaker",DAL,"57.1","0","0","27","241","1","0","0","0"
"384",15,"Emari Demercado",ARI,"54.7","0","0","16","104","0","24","223","1"
"385",15,"Atlanta Falcons",ATL,"97","0","0","0","0","0","0","0","0"
"386",15,"Jahan Dotson",PHI,"41.9","0","0","19","216","0","1","13","0"
"387",15,"Tommy Tremble",CAR,"56.4","0","0","23","234","2","0","0","0"
"388",15,"Cincinnati Bengals",CIN,"104","0","0","0","0","0","0","0","0"
"389",15,"Kalel Mullings",TEN,"0","0","0","0","0","0","0","0","0"
"390",15,"Jacob Cowing",SF,"10.7","0","0","4","80","0","1","7","0"
"391",15,"Tyrod Taylor",NYJ,"20.1","119","3","0","0","0","3","13","0"
"392",15,"Ja'Quinden Jackson",JAC,"0","0","0","0","0","0","0","0","0"
"393",15,"Cairo Santos",CHI,"109","0","0","0","0","0","0","0","0"
"394",15,"Foster Moreau",NO,"103.3","0","0","32","413","5","0","0","0"
"395",15,"Jonathan Mingo",DAL,"32.2","0","0","17","167","0","2","5","0"
"396",15,"Blake Grupe",NO,"131","0","0","0","0","0","0","0","0"
"397",15,"Kyle Juszczyk",SF,"57.6","0","0","19","200","2","5","26","1"
"398",15,"Chad Ryland",ARI,"125","0","0","0","0","0","0","0","0"
"399",15,"Jordan Watkins",SF,"0","0","0","0","0","0","0","0","0"
"400",15,"Javon Baker",NE,"2.2","0","0","1","12","0","0","0","0"
"401",15,"Deshaun Watson",CLE,"79.7","1148","5","0","0","0","31","148","1"
"402",15,"Jalin Hyatt",NYG,"14.2","0","0","8","62","0","0","0","0"
"403",15,"Olamide Zaccheaus",CHI,"112.4","0","0","45","506","3","1","8","0"
"404",15,"JuJu Smith-Schuster",KC,"53.1","0","0","18","231","2","0","0","0"
"405",15,"Cade Stover",HOU,"34.3","0","0","15","133","1","0","0","0"
"406",15,"Michael Gallup",WAS,"0","0","0","0","0","0","0","0","0"
"407",15,"Jimmy Horn Jr.",CAR,"0","0","0","0","0","0","0","0","0"
"408",15,"Jonathon Brooks",CAR,"7.5","0","0","3","23","0","9","22","0"
"409",15,"Jamari Thrash",CLE,"5.2","0","0","3","22","0","0","0","0"
"410",15,"Kendrick Bourne",NE,"65.1","0","0","28","305","1","1","6","0"
"411",15,"New Orleans Saints",NO,"98","0","0","0","0","0","0","0","0"
"412",15,"Craig Reynolds",DET,"20.9","0","0","3","40","0","31","139","0"
"413",15,"Josh Oliver",MIN,"65.8","0","0","22","258","3","0","0","0"
"414",15,"Graham Gano",NYG,"50","0","0","0","0","0","0","0","0"
"415",15,"Ja'Lynn Polk",NE,"32.7","0","0","12","87","2","1","0","0"
"416",15,"Arian Smith",NYJ,"0","0","0","0","0","0","0","0","0"
"417",15,"Treylon Burks",TEN,"7.5","0","0","4","34","0","2","1","0"
"418",15,"Zay Jones",ARI,"16.4","0","0","8","84","0","0","0","0"
"419",15,"Aidan O'Connell",LV,"97.5","1612","8","0","0","0","21","30","1"
"420",15,"D'Ernest Johnson",BAL,"35.9","0","0","12","96","0","32","143","0"
"421",15,"Alec Ingold",MIA,"26.3","0","0","11","96","0","10","17","1"
"422",15,"Nick Folk",NYJ,"108","0","0","0","0","0","0","0","0"
"423",15,"Joe Milton III",DAL,"19.2","241","1","0","0","0","10","16","1"
"424",15,"KhaDarel Hodge",ATL,"32.1","0","0","7","131","1","0","0","0"
"425",15,"Kalif Raymond",DET,"56.5","0","0","17","215","2","2","0","0"
"426",15,"Jeremy Ruckert",NYJ,"28.5","0","0","18","105","0","0","0","0"
"427",15,"Grant Calcaterra",PHI,"59.8","0","0","24","298","1","0","0","0"
"428",15,"Jimmy Garoppolo",LAR,"20.9","334","2","0","0","0","2","5","0"
"429",15,"Mason Rudolph",PIT,"104.8","1530","9","0","0","0","25","106","1"
"430",15,"Mecole Hardman Jr.",GB,"33.2","0","0","12","90","0","5","62","1"
"431",15,"Tyler Goodson",IND,"44.4","0","0","11","61","1","32","153","1"
"432",15,"Clyde Edwards-Helaire",NO,"10","0","0","3","24","0","13","46","0"
"433",15,"Jake Haener",NO,"14.2","226","1","0","0","0","11","22","0"
"434",16,"Julian Hill",MIA,"22","0","0","12","100","0","0","0","0"
"435",16,"Greg Dulcich",NYG,"7.8","0","0","5","28","0","0","0","0"
"436",16,"Chris Tyree",NO,"0","0","0","0","0","0","0","0","0"
"437",16,"Zach Wilson",MIA,"0","0","0","0","0","0","0","0","0"
"438",16,"Jeremy McNichols",WAS,"63.8","0","0","9","27","0","55","261","4"
"439",16,"Marcus Yarns",NO,"0","0","0","0","0","0","0","0","0"
"440",16,"Bub Means",NO,"26.8","0","0","9","118","1","0","0","0"
"441",16,"Marcus Mariota",WAS,"45.8","364","4","0","0","0","18","92","1"
"442",16,"Malachi Corley",NYJ,"5.2","0","0","3","16","0","2","26","0"
"443",16,"John Bates",WAS,"14.4","0","0","8","84","0","0","0","0"
"444",16,"Sam Howell",MIN,"0.2","24","0","0","0","0","1","2","0"
"445",16,"Pierre Strong Jr.",CLE,"35.2","0","0","14","104","0","26","108","0"
"446",16,"Darnell Washington",PIT,"45","0","0","19","200","1","0","0","0"
"447",16,"Gardner Minshew II",KC,"106.3","2013","9","0","0","0","19","58","0"
"448",16,"Mac Jones",SF,"104.1","1672","8","0","0","0","28","92","1"
"449",16,"Devontez Walker",BAL,"9.1","0","0","1","21","1","0","0","0"
"450",16,"Luke Lachey",HOU,"0","0","0","0","0","0","0","0","0"
"451",16,"Dare Ogunbowale",HOU,"56","0","0","19","198","1","30","112","0"
"452",16,"David Bell",CLE,"5.7","0","0","3","27","0","0","0","0"
"453",16,"K.J. Osborn",WAS,"18.7","0","0","7","57","1","0","0","0"
"454",16,"Cordarrelle Patterson",FA,"37.5","0","0","12","80","1","32","135","0"
"455",16,"Jake Browning",CIN,"-0.2","0","0","0","0","0","2","-2","0"
"456",16,"Mitchell Evans",CAR,"0","0","0","0","0","0","0","0","0"
"457",16,"Efton Chism III",NE,"0","0","0","0","0","0","0","0","0"
"458",16,"Josh Whyle",TEN,"60.8","0","0","28","248","1","0","0","0"
"459",16,"Malik Willis",GB,"51.8","550","3","0","0","0","20","138","1"
"460",16,"Elijah Higgins",ARI,"49.2","0","0","20","172","2","0","0","0"
"461",16,"Andy Dalton",CAR,"65","989","7","0","0","0","11","34","0"
"462",16,"Jacoby Brissett",ARI,"46.2","826","2","0","0","0","15","62","0"
"463",16,"Julius Chestnut",TEN,"13.3","0","0","2","11","0","22","102","0"
"464",16,"Jelani Woods",IND,"0","0","0","0","0","0","0","0","0"
"465",16,"Will Howard",PIT,"0","0","0","0","0","0","0","0","0"
"466",16,"Tyler Johnson",NYJ,"61.1","0","0","26","291","1","0","0","0"
"467",16,"Stone Smartt",NYJ,"34.8","0","0","16","208","0","0","0","0"
"468",16,"Jake Bobo",SEA,"29.7","0","0","13","107","1","0","0","0"
"469",16,"Michael Carter",ARI,"35.8","0","0","11","57","0","35","131","1"
"470",16,"Ezekiel Elliott",FA,"57.5","0","0","12","69","0","74","226","3"
"471",16,"DeeJay Dallas",ARI,"21","0","0","3","11","1","9","49","0"
"472",16,"Patrick Taylor Jr.",SF,"29.8","0","0","3","25","0","39","183","1"
"473",16,"Michael Burton",DEN,"29.3","0","0","10","65","1","7","8","1"
"474",16,"Tyler Badie",DEN,"9.4","0","0","3","-2","0","11","86","0"
"475",16,"Carson Steele",KC,"23.9","0","0","7","26","0","56","183","0"
"476",16,"Hassan Haskins",LAC,"32.8","0","0","3","49","1","34","89","2"
"477",16,"Harrison Bryant",PHI,"17.6","0","0","9","86","0","0","0","0"
"478",16,"Cedrick Wilson Jr.",NO,"49.9","0","0","20","211","1","0","0","0"
"479",16,"Cooper Rush",BAL,"114.6","1844","12","0","0","0","26","18","0"
"480",16,"Brock Wright",DET,"35","0","0","13","100","2","0","0","0"
"481",16,"Taylor Heinicke",LAC,"3.1","28","0","0","0","0","2","20","0"
"482",16,"Scotty Miller",PIT,"11.9","0","0","5","69","0","0","0","0"
"483",16,"Adam Trautman",DEN,"43.8","0","0","13","188","2","0","0","0"
"484",16,"Hunter Luepke",DAL,"26.9","0","0","12","111","0","12","38","0"
"485",16,"Johnny Mundt",JAC,"45.2","0","0","19","142","2","0","0","0"
